sample_size,perspective,scenario,independent_seeds,first_preference_rank_count,preference_rank_min,preference_rank_max,mean_net_benefit_eur_mean,mean_net_benefit_eur_min,mean_net_benefit_eur_max,mean_net_benefit_eur_std,probability_positive_mean,probability_positive_min,probability_positive_max,probability_positive_std,p10_net_benefit_eur_mean,p10_net_benefit_eur_min,p10_net_benefit_eur_max,p10_net_benefit_eur_std,worst_decile_mean_eur_mean,worst_decile_mean_eur_min,worst_decile_mean_eur_max,worst_decile_mean_eur_std,p95_regret_eur_mean,p95_regret_eur_min,p95_regret_eur_max,p95_regret_eur_std
10000,tenant,Envelope retrofit,5,0,3,3,374573.62656964146,372347.58776902524,376555.6793271538,1542.4875290805155,1.0,1.0,1.0,0.0,217588.67884391118,216642.88808261583,218749.10458859213,849.8625809483643,182273.2389374612,181363.64755912352,183853.52520113302,976.1426349411958,1633893.4154935172,1615729.9577779335,1652869.5711141408,14496.447846541554
10000,tenant,Reference: no additional intervention,5,0,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2272688.7217860464,2246976.009437045,2299255.6804198027,20268.59023907725
25000,combined_private,Deep renovation + PV,5,0,4,4,-673513.5304373984,-677221.2539037906,-669478.6833918818,3184.7528206758207,0.122896,0.1202,0.12492,0.002043839524033137,-1375743.2602367734,-1380841.0828389397,-1369486.5717374329,4407.175722213316,-1616302.687418754,-1621487.554116481,-1611564.5616881214,4283.2565848857,1558895.8303813941,1546400.2177348216,1566247.4557695219,7945.609149999182
25000,combined_private,Envelope + heat pump,5,0,3,3,-91138.8156574718,-93359.00917002009,-89065.75596983061,1826.0900552149433,0.34648,0.3422,0.35092,0.00344441577048997,-470674.8004058825,-474669.94256361603,-467290.5780167094,3536.3365120401495,-590114.9437864292,-593128.6483018338,-588412.358334109,1971.2800751815853,562704.3776194606,557274.7124422884,567192.0612474454,3784.263051341789
25000,combined_private,Envelope retrofit,5,5,1,1,28786.515603403375,27761.926914556097,29617.924165285414,775.1210233076218,0.5332720000000001,0.5314,0.5348,0.0013042699107163498,-158220.29481427156,-159431.13322432726,-155777.1167343342,1447.3283201279762,-213902.85514168208,-215326.2920647539,-212405.56137249852,1065.8586611934704,248110.581511252,245122.85075134967,249772.61669462442,1786.8789042183835
25000,combined_private,Reference: no additional intervention,5,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491890.1755170751,478963.0230034229,498619.43128185143,7689.678305577658
25000,owner,Deep renovation + PV,5,0,3,3,-2005290.3672028682,-2006820.6183334491,-2001810.8356246408,2044.709350516055,0.0,0.0,0.0,0.0,-2457303.2317667706,-2462246.2032763516,-2453617.4647005033,3134.7458356968177,-2661079.757009557,-2667320.2394690807,-2654763.81880872,4546.5778235601365,2607043.1441320227,2600780.596139901,2619378.9698588364,7400.768155546037
25000,owner,Envelope + heat pump,5,0,3,3,-843960.4319630109,-844742.4835032269,-842200.3034790708,1024.2086115943318,0.0,0.0,0.0,0.0,-1047881.8619724087,-1049375.0831659073,-1046679.0836080209,1027.93964670957,-1146698.665226421,-1148899.1471779605,-1143134.6523692852,2274.7101734739363,1119831.7654031352,1116145.276073329,1123535.4569941398,2895.2161213519385
25000,owner,Envelope retrofit,5,0,2,2,-346641.18566104874,-347112.4885653327,-345966.44630321104,455.93032616401416,0.0,0.0,0.0,0.0,-446282.6908477334,-447382.36722674314,-445361.5867061336,826.758672278137,-488501.7383038042,-489467.21070740814,-487925.1202089861,575.3537878011878,477854.3789950338,477251.2714886834,479073.8678814103,813.9886505480702
25000,owner,Reference: no additional intervention,5,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25000,tenant,Deep renovation + PV,5,5,1,1,1331776.83676547,1328539.9487346497,1335172.9827162987,2826.8881185970113,1.0,1.0,1.0,0.0,767874.8658623022,765194.7276783859,769386.7727171956,1609.6729122338609,642797.7120113347,640483.3004854732,645506.8169264579,2379.722347736121,0.0,0.0,0.0,0.0
25000,tenant,Envelope + heat pump,5,5,1,1,752821.6163055389,750919.003667777,754790.0466975187,1644.84320304826,1.0,1.0,1.0,0.0,426442.9624507213,424786.79892504355,427200.71123050054,1078.634095477677,353884.4026627404,352563.4665782577,355438.44201089133,1379.7148457058297,976992.0484689407,971712.8649907595,979836.4362525963,3120.203373124423
25000,tenant,Envelope retrofit,5,0,3,3,375427.7012644521,374524.62649709795,376378.79429320036,790.8670807209758,1.0,1.0,1.0,0.0,217431.11423229502,216645.6233355232,217908.37758760937,487.7544891184603,182420.6976437271,181771.0859394509,183181.69537599196,666.3239940613723,1637492.182654103,1628857.7343576513,1642997.2644067407,5271.735704551815
25000,tenant,Reference: no additional intervention,5,0,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2277819.0483910954,2266434.401954429,2285524.0237427657,7034.083576742589
